Student Support Services(SSS) Grantees,City
University of Alaska/ Anchorage,
University of Alaska/ Fairbanks,
University of Alaska/ Fairbanks,
Alabama Southern Community College, Monroeville
Alabama State University/ Montgomery,
Bevill State Community College, Jasper
Bevill State Community College/ Fayette,
Bevill State Community College/ Jasper,
Bevill State Community College/ Sumiton,
Bishop State Community College, Mobile
Central Alabama Community College, Alexander City
Enterprise State Community College, Enterprise
Gadsden State Community College, Gadsden
George C. Wallace Community College/ Dothan,
George Corley Wallace State Community College/ Selma,
J.F. Ingram State Technical College,
James H. Faulkner State Community College, Bay Minette
Jefferson Davis Community College, Brewton
Miles College, Fairfield
Northwest-Shoals Community College,
Snead State Community College, Boaz
Spring Hill College, Mobile
T.A. Lawson State Community College/ Bessemer,
T.A. Lawson State Community College/ Birmingham,
Troy University, Troy
University of Alabama/ Birmingham,
University of Alabama/ Birmingham,
University of Alabama/ Birmingham,
University of Alabama/ Tuscaloosa,
University of Montevallo, Montevallo
University of North Alabama, Florence
University of West Alabama, Livingston
Wallace State Community College/ Hanceville,
Arkansas Northeastern College, Blytheville
Arkansas State University, Jonesboro
Arkansas State University/ Beebe,
Arkansas State University/ Heber Springs,
Arkansas Tech University, Russellville
Arkansas Tech University, Russellville
Arkansas Tech University/ Ozark,
College of the Ouachitas,
East Arkansas Community College, Forrest City
Henderson State University, Arkadelphia
Henderson State University, Arkadelphia
John Brown University, Siloam Springs
Mid-South Community College,
National Park Community College,
North Arkansas College, Harrison
Ozarka College, Melbourne
Pulaski Technical College,
Rich Mountain Community College/Main/Waldron,
Southeast Arkansas College, Pine Bluff
Southern Arkansas University,
University of Arkansas Community College/ Batesville,
University of Arkansas Community College/ Hope,
University of Arkansas/ Fayetteville,
University of Arkansas/ Fort Smith,
University of Arkansas/ Fort Smith,
University of Arkansas/ Little Rock,
University of Arkansas/ Phillips Community College,
University of Arkansas/ Pine Bluff,
University of the Ozarks, Clarksville
"Arizona Board of Regents, University of Arizona",
Arizona State University, Tempe
Arizona State University/ Phoenix,
Arizona State University/ Polytechnic,
Arizona State University/ Tempe,
Arizona State University/ West,
Arizona Western College, Yuma
AZ Board of Regents on behalf of Arizona State University,
AZ Board of Regents on behalf of Arizona State Univsersity,
AZ Board of Regents on behalf of Arizona State Univsersity,
"Board of Regents, the University of Arizona",
Central Arizona College, Coolidge
Cochise College/ Douglas,
Coconino Community College,
Gateway Community College, New Haven
Mesa Community College, Mesa
Mesa Community College, Mesa
Northern Arizona University/ Flagstaff,
Pima County Community College/ Desert Vista,
Pima County Community College/ Desert Vista,
Pima County Community College/ East,
University of Arizona, Tucson
Yavapai Community College,
Allan Hancock Community College,
American River College, Sacramento
American River College, Sacramento
American River College, Sacramento
Antelope Valley College, Lancaster
Azusa Pacific University, Azusa
"Butte College, Butte-Glenn Community College District",
"Butte College, Butte-Glenn Community College District",
"Cal Poly Pomona Foundation, Inc.",
California Lutheran University, Thousand Oaks
California Polytechnic Corporation,
California State Polytechnic University/ Pomona,
California State University/ Chico,
California State University/ Dominguez Hills,
California State University/ Dominguez Hills,
California State University/ East Bay,
California State University/ East Bay,
California State University/ Fresno,
California State University/ Fresno Foundation,
California State University/ Fresno Foundation,
California State University/ Fullerton,
California State University/ Long Beach Research Foundation,
California State University/ Long Beach Research Foundation,
California State University/ Long Beach Research Foundation,
California State University/ Monterey Bay,
California State University/ Monterey Bay,
California State University/ Northridge,
California State University/ San Bernardino,
California State University/ San Marcos Corporation,
California State University/ Stanislaus,
Chabot-Las Positas Community College District,
Chabot-Las Positas Community College District/ Chabot College,
Chabot-Las Positas Community College District/ Chabot College,
Citrus Community College District,
Clovis Community College Center,
Clovis Community College Center,
College of the Desert, Palm Desert
College of the Desert, Palm Desert
College of the Desert, Palm Desert
College of the Siskiyous, Weed
Cosumnes River College, Sacramento
Cosumnes River College, Sacramento
Feather River Community College District,
Fresno City College, Fresno
Fresno City College, Fresno
Hartnell Community College District,
Hartnell Community College District,
Humboldt State University,
Imperial Community College District,
Kern Community College District obo Bakersfield College,
Lassen Community College District,
Long Beach Community College District,
Los Angeles City College, Los Angeles
Los Angeles Harbor,
Los Angeles Mission College, Sylmar
Los Angeles Southwest College, Los Angeles
Los Angeles Southwest College, Los Angeles
Los Angeles Valley College, Van Nuys
Loyola Marymount University, Los Angeles
Madera Community College Center,
Mission College, Santa Clara
Mission College, Santa Clara
Modesto Junior College, Modesto
Monterey Peninsula College, Monterey
Mount St. Mary's College,
Mt. San Antonio Community College District,
Napa Valley Community College District,
Palo Verde Community College District,
Palomar Community College District,
Pasadena City College, Pasadena
Rancho Santiago CCD/ Santa Ana College,
Rancho Santiago CCD/ Santiago Canyon College,
Rancho Santiago CCD/ Santiago Canyon College,
Redwoods Community College District,
Redwoods Community College District,
Reedley College, Reedley
Reedley College, Reedley
Reedley College, Reedley
Rio Hondo College, Whittier
Rio Hondo College, Whittier
Riverside Community College District,
Riverside Community College District/ Moreno Valley College,
Riverside Community College District/ Norco College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/ Riverside City College,
Riverside Community College District/Norco College,
Saint Mary's College of California, Moraga
San Bernardino Community College District, San Bernardino
San Diego Mesa College, San Diego
San Diego State University, San Diego
San Francisco Community College District,
San Francisco State University, San Francisco
San Francisco State University, San Francisco
San Jose State University, San Jose
San Mateo County Community College District/ Canada College,
San Mateo County Community College/ Skyline College,
Santa Ana College/ Rancho Santiago,
Santiago Canyon College, Orange
Shasta Tehama Trinity Community College District,
Sierra Joint Unified College District,
Simpson University, Redding
Sonoma State University, Rohnert Park
Sonoma State University, Rohnert Park
The Regents of the University of California,
University of California,
University of California/ Berkeley,
University of California/ Berkeley,
University of California/ Davis,
University of California/ La Jolla,
University of California/ Riverside,
University of the Pacific, Stockton
Ventura County Community College District,
West Hills College Coalinga/ West Hills College Firebaugh,
West Los Angeles College, Culver City
West Valley College, Saratoga
Woodland Community College, Woodland
Woodland Community College, Woodland
Yosemite Community College District,
Yuba Community College District,
Yuba Community College District,
Adams State University, Alamosa
Aims Community College, Greeley
Aims Community College, Greeley
Board of Trustees of the University of Northern Colorado,
Colorado Mesa University, Grand Junction
Colorado Mesa University, Grand Junction
Colorado Mountain College, Glenwood Springs
Colorado Mountain College, Glenwood Springs
Colorado State University, Fort Collins
Colorado State University, Fort Collins
Colorado State University/ Pueblo,
Community College of Aurora, Aurora
Community College of Aurora, Aurora
Community College of Denver, Denver
Fort Lewis College, Durango
Fort Lewis College, Durango
Front Range Community College, Westminster
Front Range Community College, Westminster
Metropolitan State College of Denver,
Northeastern Junior College, Sterling
Otero College, La Junta
Pikes Peak Community College, Colorado Springs
Pueblo Community College, Pueblo
Red Rocks Community College, Lakewood
SBCCOE for the Use and Benefit of Arapahoe Community College,
Trinidad State Junior College, Trinidad
Trinidad State Junior College/ Valley,
University of Colorado/ Boulder,
University of Colorado/ Denver,
Central Connecticut State University, New Britain
Central Connecticut State University, New Britain
Community Technical College Manchester,
Norwalk Community College, Norwalk
University of Bridgeport, Bridgeport
University of Connecticut, Storrs
University of Delaware, Newark
Board of Trustees of St. Petersburg College,
Broward College, Fort Lauderdale
Broward College, Fort Lauderdale
Broward College/ A. Hugh Adams Central,
Broward College/ Judson A. Samuels South,
Broward College/ North,
Chipola College, Marianna
College of Central Florida, Ocala
Daytona State College, Daytona Beach
Eastern Florida State College, Cocoa
"Edward Waters College, Inc.",
Florida A&M University,
Florida Gateway College, Lake City
Florida Gulf Coast University, Fort Myers
Florida Gulf Coast University, Fort Myers
Florida International University, Miami
Florida State College/ Jacksonville,
Florida State University, Tallahassee
Florida State University, Tallahassee
Gulf Coast State College, Panama City
Health Sciences Pathway of Broward College,
Hillsborough Community College, Tampa
Indian River State College, Fort Pierce
Miami Dade College/ Homestead,
Miami Dade College/ North,
Palm Beach State College, Lake Worth
Palm Beach State College, Lake Worth
Pensacola State College, Pensacola
Pensacola State College, Pensacola
Polk State College, Winter Haven
Santa Fe College, Gainesville
Santa Fe College, Gainesville
Santa Fe College, Gainesville
State College of Florida/ Manatee-Sarasota,
University of Central Florida, Orlando
University of Central Florida, Orlando
University of Florida, Gainesville
University of South Florida/ Tampa,
University of West Florida,
Atlanta Metropolitan College,
Atlanta Metropolitan College,
Berry College, Mount Berry
Corporation of Mercer University,
Fort Valley State University, Fort Valley
Georgia Perimeter College/ Clarkston,
Georgia Perimeter College/ Decatur,
Georgia Southern University/ Armstrong,
Georgia State University, Atlanta
Georgia State University, Atlanta
Georgia State University, Atlanta
"Georgia State University Research Foundation, Inc.",
"Georgia State University Research Foundation, Inc.",
Mercer University, Macon
Paine College, Augusta
Savannah State University, Savannah
University of Georgia, Athens
University of Georgia, Athens
University of Guam, Mangilao
University of Hawaii,
University of Hawaii,
University of Hawaii,
University of Hawaii,
University of Hawaii/ Kapiolani Community College,
University of Hawaii/ Manoa,
University of Hawaii/ Maui Community College,
Briar Cliff University, Sioux City
Central College, Pella
Coe College, Cedar Rapids
Des Moines Area Community College, Ankeny
Eastern Iowa Community College District, Davenport
Graceland University, Lamoni
Indian Hills Community College, Ottumwa
Iowa Central Community College, Fort Dodge
Iowa Lakes Community College, Estherville
Iowa State University,
Iowa Valley Community College District, Marshalltown
Iowa Valley Community College District, Marshalltown
Iowa Western Community College, Council Bluffs
Kirkwood Community College, Cedar Rapids
Kirkwood Community College, Cedar Rapids
Luther College, Decorah
North Iowa Area Community College, Mason City
Northeast Iowa Community College, Calmar
Northwest Iowa Community College, Sheldon
Simpson College, Indianola
Southeastern Community College, West Burlington
Southwestern Community College, Creston
University of Dubuque, Dubuque
University of Iowa, Iowa City
Western Iowa Tech Community College, Sioux City
Western Iowa Tech Community College, Sioux City
Boise State University, Boise
Boise State University, Boise
Boise State University, Boise
Boise State University, Boise
Boise State University, Boise
Idaho State University, Pocatello
North Idaho College, Coeur D'alene
University of Idaho, Moscow
Augustana College, Rock Island
Black Hawk College, Moline
Carl Sandburg College, Galesburg
College of Lake County/ Grayslake & Lakeshore,
Columbia College Chicago, Chicago
Community College District #522,
Danville Area Community College, Danville
Depaul University,
Dominican University, River Forest
Eastern Illinois University, Charleston
Elgin Community College, Elgin
Elgin Community College, Elgin
Harold Washington College,
Harry S Truman College, Chicago
Heartland Community College, Normal
Highland Community College, Freeport
Illinois Central College, East Peoria
Illinois College, Jacksonville
Illinois Eastern Community Colleges, Olney
Illinois State University, Normal
Illinois Valley Community College, Oglesby
John A. Logan College, Carterville
John Wood Community College, Quincy
Joliet Junior College, Joliet
Kankakee Community College, Kankakee
Kaskaskia College, Centralia
Kishwaukee College, Malta
Knox College, Galesburg
Lake Land College, Mattoon
Lincoln Land Community College, Litchfield
Loyola University/ Chicago,
Malcolm X College,
Moraine Valley Community College, Palos Hills
Northeastern Illinois University, Chicago
Northeastern Illinois University, Chicago
Northeastern Illinois University, Chicago
Northern Illinois University, Dekalb
Oakton Community College/ Skokie & Des Plaines,
Parkland College, Champaign
Prairie State College, Chicago Heights
Rend Lake College, Ina
Rock Valley College, Rockford
Rock Valley College, Rockford
Roosevelt University, Chicago
Saint Xavier University, Chicago
Sauk Valley Community College, Dixon
Shawnee Community College, Ullin
Southeastern Illinois College, Harrisburg
Southern Illinois University/ Carbondale,
Spoon River College, Canton
The Board of Trustees of the University of Illinois,
Triton College, River Grove
University of Illinois/ Urbana-Champaign,
Waubonsee Community College, Sugar Grove
Indiana Wesleyan University, Marion
Ivy Tech Community College of Indiana dba Ivy Tech Richmond,
Ivy Tech Community College/ Coliseum & North,
Ivy Tech Community College/ Indianapolis,
Ivy Tech Community College/ Northwest,
Purdue University, West Lafayette
Purdue University, West Lafayette
Purdue University, West Lafayette
Trustees of Indiana University,
Trustees of Indiana University,
University of Saint Francis,
University of Southern Indiana, Evansville
Vincennes University, Vincennes
Vincennes University, Vincennes
Barton County Community College, Great Bend
Cloud County Community College, Concordia
Colby Community College, Colby
Cowley County Community College & Area Vocational Technical,
Dodge City Community College, Dodge City
Donnelly College, Kansas City
Emporia State University, Emporia
Fort Scott Community College, Fort Scott
Garden City Community College, Garden City
Haskell Indian Nations University, Lawrence
Highland Community College, Freeport
Independence Community College, Independence
Kansas State University, Manhattan
Kansas State University/ Salina,
Labette Community College, Parsons
Neosho County Community College, Chanute
Seward County Community College, Liberal
"University of Kansas Center for Research, Inc.",
"University of Kansas Center for Research, Inc.",
Wichita State University, Wichita
Wichita State University, Wichita
Wichita State University/ Campus of Applied Sciences and Tech,
Ashland Community & Technical College,
Berea College, Berea
Bluegrass Community & Technical College,
Bluegrass Community & Technical College/ Danville,
Eastern Kentucky University, Richmond
Elizabethtown Community & Technical College,
Gateway Community & Technical College,
Hopkinsville Community College/ KCTCS,
Kentucky State University, Frankfort
Madisonville Community College, Madisonville
Maysville Community & Technical College,
Morehead State University, Morehead
Murray State University, Murray
Northern Kentucky University Research Foundation,
Owensboro Community & Technical College,
Somerset Community College, Somerset
Southcentral Kentucky Community and Technical College, Bowling Green
Southeast Kentucky Community & Technical College,
Union College, Barbourville
University of Kentucky, Lexington
University of Louisville, Louisville
University of Pikeville, Pikeville
Western Kentucky University, Bowling Green
Western Kentucky University, Bowling Green
Delgado Community College, New Orleans
Dillard University, New Orleans
Louisiana State University and A&M College, Baton Rouge
Loyola University New Orleans, New Orleans
Northwestern State University,
River Parishes Community College, Gonzales
Southeastern Louisiana University, Hammond
Southern University/ New Orleans,
Southern University/ Shreveport,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Lafayette,
University of Louisiana/ Monroe,
University of Lousiana/ Lafayette,
University of New Orleans, New Orleans
Berkshire Community College, Pittsfield
Boston College, Chestnut Hill
Brandeis University, Waltham
Bunker Hill Community College, Boston
Cape Cod Community College, West Barnstable
Fitchburg State University, Fitchburg
Holyoke Community College, Holyoke
Holyoke Community College, Holyoke
Massachusetts College of Liberal Arts, North Adams
Massasoit Community College/ Brockton & Canton,
Middlesex Community College, Bedford
Middlesex Community College, Bedford
Mount Wachusett Community College, Gardner
Mount Wachusett Community College, Gardner
Mount Wachusett Community College, Gardner
North Shore Community College, Danvers
Northern Essex Community College, Haverhill
Quinsigamond Community College, Worcester
Salem State College,
Springfield Technical Community College, Springfield
University of Massachusetts/ Boston,
University of Massachusetts/ Dartmouth,
Westfield State College,
Allegany College/ Maryland,
Baltimore City Community College, Baltimore
Chesapeake College, Wye Mills
Chesapeake College, Wye Mills
Community College of Baltimore County,
Community College of Baltimore County,
Frostburg State University, Frostburg
Hagerstown Community College, Hagerstown
Montgomery College, Rockville
Prince George's Community College, Largo
Salisbury University, Salisbury
University of Maryland/ College Park,
Wor-Wic Community College, Salisbury
Central Maine Community College, Auburn
Central Maine Community College, Auburn
Eastern Maine Community College, Bangor
Kennebec Valley Community College, Fairfield
Northern Maine Community College, Presque Isle
Southern Maine Community College, South Portland
Southern Maine Community College, South Portland
Thomas College, Waterville
University of Maine/ Augusta,
University of Maine/ Farmington,
University of Maine/ Fort Kent,
University of Maine/ Orono,
University of Maine/ Presque Isle,
University of Southern Maine, Portland
University of Southern Maine, Portland
Washington County Community College, Calais
Adrian College, Adrian
Albion College, Albion
Aquinas College, Grand Rapids
Bay De Noc Community College,
Bay Mills Community College, Brimley
Calvin University, Grand Rapids
Eastern Michigan University, Ypsilanti
Eastern Michigan University, Ypsilanti
Finlandia University, Hancock
Glen Oaks Community College, Centreville
Gogebic Community College, Ironwood
Grand Rapids Community College, Grand Rapids
Grand Rapids Community College, Grand Rapids
Grand Valley State University, Allendale
Grand Valley State University, Allendale
Grand Valley State University, Allendale
Jackson College, Jackson
Kellogg Community College, Battle Creek
Lake Michigan College, Benton Harbor
Madonna University, Livonia
Michigan State University, East Lansing
Mid Michigan Community College,
Mott Community College, Flint
Northern Michigan University, Marquette
Regents of the University of Michigan,
Saginaw Valley State University, University Center
Siena Heights University, Adrian
St. Clair County Community College,
University of Detroit Mercy, Detroit
Wayne County Community College District, Detroit
Wayne State University, Detroit
Wayne State University, Detroit
Western Michigan University, Kalamazoo
Western Michigan University, Kalamazoo
Anoka Ramsey Community College/ Coon Rapids,
Anoka-Ramsey Community College, Cambridge
Augsburg College,
Bemidji State University, Bemidji
Carleton College, Northfield
Central Lakes College, Brainerd
Century College, White Bear Lake
Century College, White Bear Lake
"College of St. Scholastica, Inc.",
Dakota County Technical College, Rosemount
Fond du Lac Tribal and Community College, Cloquet
Hennepin Technical College, Eden Prairie
Hennepin Technical College, Eden Prairie
