FY 2022-23 SSS Grantees (MS Excel),,,Institutional Type,Private/Public/2-years,,John Paul,Aminah,Bethle,,,,
PR Award Number,Student Support Services(SSS) Grantees,# of Students,PWI/HBCU/HSI,Institutional Selectivity,State,City,County,Zipcode,Urbanicity-Milners Definition,Number of Participants,FY 2022 Funding (2022-23 Project Yr),Project Type
P042A201384,University of Alaska/ Anchorage,,,,AK,test,,,,160,"$271,635.00 ",Regular
P042A200923,University of Alaska/ Fairbanks,,,,AK,,,,,140,"$261,888.00 ",STEM
P042A200928,University of Alaska/ Fairbanks,,,,AK,,,,,160,"$274,943.00 ",Regular
P042A200160,Alabama Southern Community College,,,,AL,,,,,167,"$383,454.00 ",Regular
P042A200640,Alabama State University/ Montgomery,,,,AL,,,,,160,"$294,725.00 ",Regular
P042A200079,Bevill State Community College,,,,AL,,,,,124,"$261,888.00 ",STEM
P042A200273,Bevill State Community College/ Fayette,,,,AL,,,,,165,"$347,155.00 ",Regular
P042A200520,Bevill State Community College/ Jasper,,,,AL,,,,,144,"$261,888.00 ",Regular
P042A200137,Bevill State Community College/ Sumiton,,,,AL,,,,,144,"$261,888.00 ",Regular
P042A201912,Bishop State Community College,,,,AL,,,,,140,"$261,888.00 ",Regular
P042A201101,Central Alabama Community College,,,,AL,,,,,120,"$261,888.00 ",STEM
P042A200340,Enterprise State Community College,,,,AL,,,,,275,"$576,128.00 ",Regular
P042A201297,Gadsden State Community College,,,,AL,,,,,600,"$982,120.00 ",Regular
P042A200272,George C. Wallace Community College/ Dothan,,,,AL,,,,,365,"$718,829.00 ",Regular
P042A201710,George Corley Wallace State Community College/ Selma,,,,AL,,,,,309,"$506,152.00 ",Regular
P042A200651,J.F. Ingram State Technical College,,,,AL,,,,,167,"$419,010.00 ",Regular
P042A200284,James H. Faulkner State Community College,,,,AL,,,,,150,"$351,793.00 ",Regular
P042A200570,Jefferson Davis Community College,,,,AL,,,,,150,"$294,725.00 ",Regular
P042A201097,Miles College,,,,AL,,,,,140,"$261,888.00 ",Regular
P042A200234,Northwest-Shoals Community College,,,,AL,,,,,400,"$634,218.00 ",Regular
P042A201667,Snead State Community College,,,,AL,,,,,170,"$275,105.00 ",Regular
P042A201423,Spring Hill College,,,,AL,,,,,140,"$261,888.00 ",Regular
P042A200958,T.A. Lawson State Community College/ Bessemer,,,,AL,,,,,210,"$334,850.00 ",Regular
P042A200821,T.A. Lawson State Community College/ Birmingham,,,,AL,,,,,200,"$398,062.00 ",Regular
P042A200335,Troy University,,,,AL,,,,,450,"$779,666.00 ",Regular
P042A200620,University of Alabama/ Birmingham,,,,AL,,,,,140,"$261,888.00 ",TeacherPrep
P042A200581,University of Alabama/ Birmingham,,,,AL,,,,,120,"$261,888.00 ",STEM
P042A200585,University of Alabama/ Birmingham,,,,AL,,,,,200,"$492,454.00 ",Regular
P042A201375,University of Alabama/ Tuscaloosa,,,,AL,,,,,206,"$354,106.00 ",Regular
P042A210625,University of Montevallo,,,,AL,,,,,200,"$345,786.00 ",Regular
P042A221106,University of North Alabama,,,,AL,,,,,140,"$261,888.00 ",
P042A200523,University of West Alabama,,,,AL,,,,,160,"$338,972.00 ",Regular
P042A201189,Wallace State Community College/ Hanceville,,,,AL,,,,,200,"$341,416.00 ",Regular
P042A201820,Arkansas Northeastern College,,,,AR,,,,,175,"$335,111.00 ",Regular
P042A200603,Arkansas State University,,,,AR,,,,,175,"$316,350.00 ",Regular
P042A200429,Arkansas State University/ Beebe,,,,AR,,,,,160,"$294,725.00 ",Regular
P042A200443,Arkansas State University/ Heber Springs,,,,AR,,,,,140,"$261,888.00 ",Regular
P042A200612,Arkansas Tech University,,,,AR,,,,,140,"$261,888.00 ",Regular
P042A200489,Arkansas Tech University,,,,AR,,,,,140,"$261,888.00 ",TeacherPrep
P042A200388,Arkansas Tech University/ Ozark,,,,AR,,,,,140,"$261,888.00 ",Regular
P042A200006,College of the Ouachitas,,,,AR,,,,,200,"$306,036.00 ",Regular
P042A200889,East Arkansas Community College,,,,AR,,,,,200,"$361,323.00 ",Regular
P042A200034,Henderson State University,,,,AR,,,,,308,"$417,525.00 ",Regular
P042A200043,Henderson State University,,,,AR,,,,,100,"$294,721.00 ",Disabled
P042A200526,John Brown University,,,,AR,,,,,165,"$275,105.00 ",Regular
P042A201115,Mid-South Community College,,,,AR,,,,,180,"$335,086.00 ",Regular
P042A200198,National Park Community College,,,,AR,,,,,225,"$420,020.00 ",Regular
P042A220018,North Arkansas College,,,,AR,,,,,200,"$377,440.00 ",
P042A200665,Ozarka College,,,,AR,,,,,215,"$331,434.00 ",Regular
P042A200091,Pulaski Technical College,,,,AR,,,,,180,"$275,105.00 ",Regular
P042A200111,Rich Mountain Community College/Main/Waldron,,,,AR,,,,,220,"$378,800.00 ",Regular
P042A200058,Southeast Arkansas College,,,,AR,,,,,160,"$275,105.00 ",Regular
P042A201015,Southern Arkansas University,,,,AR,,,,,250,"$396,437.00 ",Regular
P042A200002,University of Arkansas Community College/ Batesville,,,,AR,,,,,144,"$261,888.00 ",Regular
P042A201054,University of Arkansas Community College/ Hope,,,,AR,,,,,200,"$335,111.00 ",Regular
P042A201645,University of Arkansas/ Fayetteville,,,,AR,,,,,325,"$414,009.00 ",Regular
P042A200746,University of Arkansas/ Fort Smith,,,,AR,,,,,140,"$261,888.00 ",Regular
P042A200752,University of Arkansas/ Fort Smith,,,,AR,,,,,120,"$261,888.00 ",STEM
P042A200276,University of Arkansas/ Little Rock,,,,AR,,,,,260,"$427,545.00 ",Regular
P042A200186,University of Arkansas/ Phillips Community College,,,,AR,,,,,257,"$374,609.00 ",Regular
P042A200799,University of Arkansas/ Pine Bluff,,,,AR,,,,,308,"$491,808.00 ",Regular
P042A201056,University of the Ozarks,,,,AR,,,,,180,"$320,062.00 ",Regular
P042A200798,"Arizona Board of Regents, University of Arizona",,,,AZ,,,,,140,"$261,888.00 ",Regular
P042A201697,Arizona State University,,,,AZ,,,,,150,"$261,888.00 ",Regular
P042A201691,Arizona State University/ Phoenix,,,,AZ,,,,,120,"$261,888.00 ",STEM
P042A201640,Arizona State University/ Polytechnic,,,,AZ,,,,,150,"$261,888.00 ",Regular
P042A201675,Arizona State University/ Tempe,,,,AZ,,,,,270,"$292,020.00 ",Disabled
P042A201532,Arizona State University/ West,,,,AZ,,,,,130,"$261,888.00 ",STEM
P042A200990,Arizona Western College,,,,AZ,,,,,240,"$394,180.00 ",Regular
P042A201661,AZ Board of Regents on behalf of Arizona State University,,,,AZ,,,,,140,"$261,888.00 ",Regular
P042A201544,AZ Board of Regents on behalf of Arizona State Univsersity,,,,AZ,,,,,140,"$261,888.00 ",Regular
P042A221585,AZ Board of Regents on behalf of Arizona State Univsersity,,,,AZ,,,,,140,"$261,888.00 ",
P042A200796,"Board of Regents, the University of Arizona",,,,AZ,,,,,140,"$261,888.00 ",TeacherPrep
P042A200406,Central Arizona College,,,,AZ,,,,,160,"$275,105.00 ",Regular
P042A200875,Cochise College/ Douglas,,,,AZ,,,,,165,"$279,965.00 ",Regular
P042A200230,Coconino Community College,,,,AZ,,,,,144,"$261,888.00 ",Regular
P042A200859,Gateway Community College,,,,AZ,,,,,165,"$273,957.00 ",Regular
P042A200873,Mesa Community College,,,,AZ,,,,,140,"$261,888.00 ",Regular
P042A201342,Mesa Community College,,,,AZ,,,,,120,"$261,888.00 ",STEM
P042A200832,Northern Arizona University/ Flagstaff,,,,AZ,,,,,247,"$352,685.00 ",Regular
P042A200412,Pima County Community College/ Desert Vista,,,,AZ,,,,,140,"$261,888.00 ",Regular
P042A200238,Pima County Community College/ Desert Vista,,,,AZ,,,,,120,"$261,888.00 ",STEM
P042A200282,Pima County Community College/ East,,,,AZ,,,,,100,"$261,888.00 ",Disabled
P042A200251,University of Arizona,,,,AZ,,,,,124,"$261,888.00 ",STEM
P042A201114,Yavapai Community College,,,,AZ,,,,,309,"$483,523.00 ",Regular
P042A200930,Allan Hancock Community College,,,,CA,,,,,400,"$261,888.00 ",Regular
P042A201454,American River College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201458,American River College,,,,CA,,,,,140,"$261,888.00 ",Veterans
P042A201470,American River College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A200423,Antelope Valley College,,,,CA,,,,,160,"$294,725.00 ",Regular
P042A201578,Azusa Pacific University,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201126,"Butte College, Butte-Glenn Community College District",,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201142,"Butte College, Butte-Glenn Community College District",,,,CA,,,,,100,"$261,888.00 ",Disabled
P042A200732,"Cal Poly Pomona Foundation, Inc.",,,,CA,,,,,250,"$443,367.00 ",Regular
P042A201951,California Lutheran University,,,,CA,,,,,206,"$296,322.00 ",Regular
P042A200970,California Polytechnic Corporation,,,,CA,,,,,258,"$344,414.00 ",Regular
P042A200053,California State Polytechnic University/ Pomona,,,,CA,,,,,150,"$335,110.00 ",Disabled
P042A200376,California State University/ Chico,,,,CA,,,,,160,"$294,722.00 ",Regular
P042A200917,California State University/ Dominguez Hills,,,,CA,,,,,160,"$292,913.00 ",Regular
P042A201370,California State University/ Dominguez Hills,,,,CA,,,,,90,"$192,821.00 ",Veterans
P042A201900,California State University/ East Bay,,,,CA,,,,,438,"$542,635.00 ",Regular
P042A201962,California State University/ East Bay,,,,CA,,,,,100,"$275,104.00 ",Disabled
P042A200951,California State University/ Fresno,,,,CA,,,,,140,"$348,002.00 ",Regular
P042A200954,California State University/ Fresno Foundation,,,,CA,,,,,110,"$261,888.00 ",Disabled
P042A201348,California State University/ Fresno Foundation,,,,CA,,,,,120,"$261,888.00 ",Veterans
P042A200828,California State University/ Fullerton,,,,CA,,,,,165,"$348,002.00 ",Regular
P042A201857,California State University/ Long Beach Research Foundation,,,,CA,,,,,124,"$261,888.00 ",STEM
P042A201859,California State University/ Long Beach Research Foundation,,,,CA,,,,,103,"$261,888.00 ",Disabled
P042A211852,California State University/ Long Beach Research Foundation,,,,CA,,,,,464,"$607,236.00 ",Regular
P042A200660,California State University/ Monterey Bay,,,,CA,,,,,160,"$294,725.00 ",Regular
P042A200546,California State University/ Monterey Bay,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A200431,California State University/ Northridge,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201264,California State University/ San Bernardino,,,,CA,,,,,335,"$444,751.00 ",Regular
P042A200516,California State University/ San Marcos Corporation,,,,CA,,,,,206,"$348,002.00 ",Regular
P042A201294,California State University/ Stanislaus,,,,CA,,,,,250,"$438,134.00 ",Regular
P042A201882,Chabot-Las Positas Community College District,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201867,Chabot-Las Positas Community College District/ Chabot College,,,,CA,,,,,140,"$261,888.00 ",ESL
P042A201895,Chabot-Las Positas Community College District/ Chabot College,,,,CA,,,,,160,"$275,105.00 ",Regular
P042A201620,Citrus Community College District,,,,CA,,,,,125,"$261,888.00 ",STEM
P042A201312,Clovis Community College Center,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201165,Clovis Community College Center,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200927,College of the Desert,,,,CA,,,,,120,"$261,888.00 ",Veterans
P042A200903,College of the Desert,,,,CA,,,,,175,"$335,109.00 ",Regular
P042A200905,College of the Desert,,,,CA,,,,,103,"$261,888.00 ",Disabled
P042A201217,College of the Siskiyous,,,,CA,,,,,180,"$316,443.00 ",Regular
P042A201589,Cosumnes River College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201733,Cosumnes River College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201391,Feather River Community College District,,,,CA,,,,,160,"$294,725.00 ",Regular
P042A201380,Fresno City College,,,,CA,,,,,160,"$294,725.00 ",Regular
P042A201119,Fresno City College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201103,Hartnell Community College District,,,,CA,,,,,140,"$261,888.00 ",ESL
P042A201173,Hartnell Community College District,,,,CA,,,,,160,"$261,888.00 ",Regular
P042A201152,Humboldt State University,,,,CA,,,,,500,"$444,469.00 ",Regular
P042A200764,Imperial Community College District,,,,CA,,,,,325,"$502,386.00 ",Regular
P042A201285,Kern Community College District obo Bakersfield College,,,,CA,,,,,140,"$261,888.00 ",TeacherPrep
P042A200950,Lassen Community College District,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200039,Long Beach Community College District,,,,CA,,,,,100,"$275,105.00 ",Disabled
P042A200354,Los Angeles City College,,,,CA,,,,,160,"$335,110.00 ",Regular
P042A210947,Los Angeles Harbor,,,,CA,,,,,125,"$348,002.00 ",Disabled
P042A201696,Los Angeles Mission College,,,,CA,,,,,160,"$273,404.00 ",Regular
P042A201884,Los Angeles Southwest College,,,,CA,,,,,250,"$523,279.00 ",Regular
P042A201432,Los Angeles Southwest College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201769,Los Angeles Valley College,,,,CA,,,,,165,"$275,105.00 ",Regular
P042A201050,Loyola Marymount University,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201308,Madera Community College Center,,,,CA,,,,,140,"$261,888.00 ",ESL
P042A200826,Mission College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A200815,Mission College,,,,CA,,,,,165,"$318,510.00 ",Regular
P042A201679,Modesto Junior College,,,,CA,,,,,258,"$335,109.00 ",Regular
P042A201213,Monterey Peninsula College,,,,CA,,,,,200,"$351,069.00 ",Regular
P042A201096,Mount St. Mary's College,,,,CA,,,,,232,"$329,719.00 ",Regular
P042A201207,Mt. San Antonio Community College District,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201827,Napa Valley Community College District,,,,CA,,,,,185,"$335,107.00 ",Regular
P042A201159,Palo Verde Community College District,,,,CA,,,,,100,"$261,888.00 ",Disabled
P042A201723,Palomar Community College District,,,,CA,,,,,225,"$354,577.00 ",Regular
P042A200855,Pasadena City College,,,,CA,,,,,206,"$348,002.00 ",Regular
P042A211018,Rancho Santiago CCD/ Santa Ana College,,,,CA,,,,,175,"$348,002.00 ",Regular
P042A221211,Rancho Santiago CCD/ Santiago Canyon College,,,,CA,,,,,140,"$261,888.00 ",
P042A201093,Rancho Santiago CCD/ Santiago Canyon College,,,,CA,,,,,120,"$261,888.00 ",Veterans
P042A200247,Redwoods Community College District,,,,CA,,,,,200,"$353,652.00 ",Regular
P042A200192,Redwoods Community College District,,,,CA,,,,,144,"$261,888.00 ",Regular
P042A201085,Reedley College,,,,CA,,,,,125,"$294,722.00 ",Disabled
P042A201459,Reedley College,,,,CA,,,,,140,"$261,888.00 ",ESL
P042A201549,Reedley College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200439,Rio Hondo College,,,,CA,,,,,165,"$294,701.00 ",Regular
P042A200440,Rio Hondo College,,,,CA,,,,,124,"$261,888.00 ",STEM
P042A201940,Riverside Community College District,,,,CA,,,,,100,"$261,888.00 ",Disabled
P042A201946,Riverside Community College District/ Moreno Valley College,,,,CA,,,,,144,"$261,888.00 ",Regular
P042A201939,Riverside Community College District/ Norco College,,,,CA,,,,,160,"$275,105.00 ",Regular
P042A201918,Riverside Community College District/ Riverside City College,,,,CA,,,,,120,"$261,888.00 ",Veterans
P042A201920,Riverside Community College District/ Riverside City College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201921,Riverside Community College District/ Riverside City College,,,,CA,,,,,100,"$261,888.00 ",Disabled
P042A201935,Riverside Community College District/Norco College,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201172,Saint Mary's College of California,,,,CA,,,,,160,"$261,881.00 ",Regular
P042A200976,San Bernardino Community College District,,,,CA,,,,,200,"$348,002.00 ",Regular
P042A201523,San Diego Mesa College,,,,CA,,,,,225,"$338,972.00 ",Regular
P042A201818,San Diego State University,,,,CA,,,,,225,"$335,110.00 ",Disabled
P042A200988,San Francisco Community College District,,,,CA,,,,,310,"$466,342.00 ",Regular
P042A200940,San Francisco State University,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201184,San Francisco State University,,,,CA,,,,,160,"$293,155.00 ",Regular
P042A201203,San Jose State University,,,,CA,,,,,258,"$509,776.00 ",Regular
P042A201785,San Mateo County Community College District/ Canada College,,,,CA,,,,,165,"$275,105.00 ",Regular
P042A201957,San Mateo County Community College/ Skyline College,,,,CA,,,,,330,"$590,821.00 ",Regular
P042A201130,Santa Ana College/ Rancho Santiago,,,,CA,,,,,120,"$261,888.00 ",Veterans
P042A201074,Santiago Canyon College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200865,Shasta Tehama Trinity Community College District,,,,CA,,,,,180,"$335,110.00 ",Regular
P042A200220,Sierra Joint Unified College District,,,,CA,,,,,144,"$261,888.00 ",Regular
P042A201089,Simpson University,,,,CA,,,,,150,"$261,888.00 ",Regular
P042A201076,Sonoma State University,,,,CA,,,,,140,"$261,888.00 ",ESL
P042A210932,Sonoma State University,,,,CA,,,,,350,"$513,073.00 ",Regular
P042A201273,The Regents of the University of California,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A200794,University of California,,,,CA,,,,,146,"$261,888.00 ",Regular
P042A201374,University of California/ Berkeley,,,,CA,,,,,320,"$548,798.00 ",Regular
P042A201453,University of California/ Berkeley,,,,CA,,,,,250,"$347,762.00 ",Disabled
P042A201779,University of California/ Davis,,,,CA,,,,,160,"$275,091.00 ",Regular
P042A200667,University of California/ La Jolla,,,,CA,,,,,206,"$348,002.00 ",Regular
P042A200359,University of California/ Riverside,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201845,University of the Pacific,,,,CA,,,,,200,"$338,956.00 ",Regular
P042A200201,Ventura County Community College District,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200808,West Hills College Coalinga/ West Hills College Firebaugh,,,,CA,,,,,189,"$322,553.00 ",Regular
P042A201592,West Los Angeles College,,,,CA,,,,,160,"$294,975.00 ",Regular
P042A201421,West Valley College,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A200980,Woodland Community College,,,,CA,,,,,144,"$261,888.00 ",Regular
P042A201008,Woodland Community College,,,,CA,,,,,144,"$261,888.00 ",ESL
P042A200944,Yosemite Community College District,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201038,Yuba Community College District,,,,CA,,,,,140,"$261,888.00 ",Regular
P042A201040,Yuba Community College District,,,,CA,,,,,120,"$261,888.00 ",STEM
P042A201064,Adams State University,,,,CO,,,,,175,"$294,722.00 ",Regular
P042A200197,Aims Community College,,,,CO,,,,,160,"$275,105.00 ",Regular
P042A200207,Aims Community College,,,,CO,,,,,120,"$261,888.00 ",STEM
P042A211356,Board of Trustees of the University of Northern Colorado,,,,CO,,,,,200,"$336,272.00 ",Regular
P042A201204,Colorado Mesa University,,,,CO,,,,,150,"$261,888.00 ",Regular
P042A201468,Colorado Mesa University,,,,CO,,,,,120,"$261,888.00 ",STEM
P042A210434,Colorado Mountain College,,,,CO,,,,,160,"$333,312.00 ",Regular
P042A200553,Colorado Mountain College,,,,CO,,,,,140,"$261,888.00 ",Regular
P042A200839,Colorado State University,,,,CO,,,,,120,"$261,888.00 ",STEM
P042A220835,Colorado State University,,,,CO,,,,,275,"$449,116.00 ",
P042A200361,Colorado State University/ Pueblo,,,,CO,,,,,227,"$357,420.00 ",Regular
P042A200442,Community College of Aurora,,,,CO,,,,,160,"$261,886.00 ",Regular
P042A200714,Community College of Aurora,,,,CO,,,,,140,"$261,886.00 ",ESL
P042A201789,Community College of Denver,,,,CO,,,,,261,"$338,971.00 ",Regular
P042A201773,Fort Lewis College,,,,CO,,,,,120,"$261,888.00 ",STEM
P042A210351,Fort Lewis College,,,,CO,,,,,200,"$338,970.00 ",Regular
P042A201027,Front Range Community College,,,,CO,,,,,140,"$261,888.00 ",Regular
P042A200579,Front Range Community College,,,,CO,,,,,140,"$261,888.00 ",Regular
P042A200909,Metropolitan State College of Denver,,,,CO,,,,,200,"$338,840.00 ",Regular
P042A201188,Northeastern Junior College,,,,CO,,,,,180,"$285,902.00 ",Regular
P042A200036,Otero College,,,,CO,,,,,180,"$261,888.00 ",Regular
P042A201043,Pikes Peak Community College,,,,CO,,,,,144,"$275,105.00 ",Regular
P042A200066,Pueblo Community College,,,,CO,,,,,220,"$383,663.00 ",Regular
P042A200779,Red Rocks Community College,,,,CO,,,,,140,"$261,888.00 ",Regular
P042A200102,SBCCOE for the Use and Benefit of Arapahoe Community College,,,,CO,,,,,140,"$261,888.00 ",Regular
P042A201069,Trinidad State Junior College,,,,CO,,,,,250,"$428,545.00 ",Regular
P042A201061,Trinidad State Junior College/ Valley,,,,CO,,,,,144,"$261,888.00 ",Regular
P042A201790,University of Colorado/ Boulder,,,,CO,,,,,186,"$369,221.00 ",Regular
P042A201690,University of Colorado/ Denver,,,,CO,,,,,165,"$277,373.00 ",Regular
P042A201662,Central Connecticut State University,,,,CT,,,,,140,"$261,888.00 ",TeacherPrep
P042A201631,Central Connecticut State University,,,,CT,,,,,140,"$261,888.00 ",Regular
P042A201001,Community Technical College Manchester,,,,CT,,,,,140,"$261,888.00 ",Regular
P042A200115,Norwalk Community College,,,,CT,,,,,247,"$404,073.00 ",Regular
P042A200196,University of Bridgeport,,,,CT,,,,,140,"$261,886.00 ",Regular
P042A201446,University of Connecticut,,,,CT,,,,,225,"$347,999.00 ",Regular
P042A200771,University of Delaware,,,,DE,,,,,180,"$347,008.00 ",Regular
P042A210174,Board of Trustees of St. Petersburg College,,,,FL,,,,,167,"$335,110.00 ",Regular
P042A201094,Broward College,,,,FL,,,,,140,"$261,888.00 ",ESL
P042A201099,Broward College,,,,FL,,,,,100,"$261,888.00 ",Disabled
P042A200457,Broward College/ A. Hugh Adams Central,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200773,Broward College/ Judson A. Samuels South,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200663,Broward College/ North,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200379,Chipola College,,,,FL,,,,,144,"$261,888.00 ",Regular
P042A201223,College of Central Florida,,,,FL,,,,,227,"$376,098.00 ",Regular
P042A200275,Daytona State College,,,,FL,,,,,210,"$374,569.00 ",Regular
P042A200400,Eastern Florida State College,,,,FL,,,,,235,"$338,969.00 ",Regular
P042A200851,"Edward Waters College, Inc.",,,,FL,,,,,165,"$275,105.00 ",Regular
P042A201269,Florida A&M University,,,,FL,,,,,250,"$369,676.00 ",Regular
P042A200993,Florida Gateway College,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A201006,Florida Gulf Coast University,,,,FL,,,,,165,"$294,725.00 ",Regular
P042A201007,Florida Gulf Coast University,,,,FL,,,,,124,"$253,769.00 ",STEM
P042A200642,Florida International University,,,,FL,,,,,165,"$261,888.00 ",Regular
P042A201521,Florida State College/ Jacksonville,,,,FL,,,,,160,"$261,888.00 ",STEM
P042A201533,Florida State University,,,,FL,,,,,140,"$261,888.00 ",STEM
P042A201512,Florida State University,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200042,Gulf Coast State College,,,,FL,,,,,196,"$295,648.00 ",Regular
P042A201208,Health Sciences Pathway of Broward College,,,,FL,,,,,120,"$261,888.00 ",STEM
P042A201473,Hillsborough Community College,,,,FL,,,,,206,"$378,237.00 ",Regular
P042A201658,Indian River State College,,,,FL,,,,,160,"$335,111.00 ",Regular
P042A201676,Miami Dade College/ Homestead,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200548,Miami Dade College/ North,,,,FL,,,,,172,"$274,883.00 ",Regular
P042A200697,Palm Beach State College,,,,FL,,,,,175,"$294,725.00 ",Regular
P042A200969,Palm Beach State College,,,,FL,,,,,120,"$261,888.00 ",Veterans
P042A201068,Pensacola State College,,,,FL,,,,,225,"$379,197.00 ",Regular
P042A201070,Pensacola State College,,,,FL,,,,,120,"$261,888.00 ",Veterans
P042A200380,Polk State College,,,,FL,,,,,161,"$261,888.00 ",Regular
P042A200506,Santa Fe College,,,,FL,,,,,206,"$335,111.00 ",Regular
P042A200898,Santa Fe College,,,,FL,,,,,120,"$261,888.00 ",Veterans
P042A201647,Santa Fe College,,,,FL,,,,,120,"$261,888.00 ",STEM
P042A201666,State College of Florida/ Manatee-Sarasota,,,,FL,,,,,140,"$261,888.00 ",Regular
P042A200592,University of Central Florida,,,,FL,,,,,124,"$261,888.00 ",STEM
P042A200615,University of Central Florida,,,,FL,,,,,144,"$261,888.00 ",Regular
